dt,level,date.time,precip,pr,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,e.01,e.02,e.03,e.04,e.05,e.06,e.07,e.14,e.30
2005-09-05T07:00:00Z,153.31,2005-09-05T07:00:00Z,0,0,0.01,0.04,0,0,0,0,0.11,0.8200000000000001,0.06,0.33000000000000007,0.65,0.18,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.44000000000000006,0.4800000000000002,0.31000000000000005,2.169999999999999,0.9300000000000002,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.9399999999999937,0.7500000000000002,2.08,0.8000000000000002,0.33000000000000007,0.6700000000000002,3.5300000000000002,0.9900000000000005,0.8300000000000003,2.0300000000000007,0.26000000000000006,1.6700000000000008,0.04,0.7600000000000002,2.4200000000000004,0.8,0.18000000000000002,0.18000000000000005,2.589999999999999,1.2100000000000002,0.15000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-06T08:00:00Z,156.36,2006-01-06T08:00:00Z,0,0,5.119999999999995,2.1199999999999997,0,0.17000000000000004,2.4699999999999998,0.08,1.3800000000000003,2.719999999999996,3.189999999999996,0.6000000000000001,0.8900000000000001,0.9000000000000004,0.9300000000000002,1.15,0,0.46,0.05,0.15000000000000002,0,0.04,0,0,0,0,0.5700000000000002,0.36,0.3400000000000001,0.26,0.6200000000000001,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2200000000000006,4.369999999999995,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,0.7300000000000002,2.2699999999999996,153.31,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-09T08:00:00Z,156.46,2006-01-09T08:00:00Z,0.07,0.07,3.5699999999999954,5.059999999999996,0.01,0,1.7700000000000005,0.9500000000000001,0,1.6700000000000006,4.749999999999994,1.2600000000000002,0.48000000000000004,0.8900000000000001,1.0700000000000003,1.6400000000000003,0,0,0.46,0.19,0.01,0.04,0,0,0,0,0.11,0.8200000000000001,0.05,0.3400000000000001,0.65,0.18,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.4300000000000001,0.42000000000000015,0.38000000000000006,2.0500000000000003,1.0500000000000003,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,3.8799999999999937,0.8100000000000003,2.08,156.36,153.31,NA,NA,NA,NA,NA,NA,NA
2006-01-11T08:00:00Z,156.82,2006-01-11T08:00:00Z,0.04,0.04,3.319999999999996,5.079999999999993,0.7999999999999999,0,0.81,1.9100000000000006,0,1.4400000000000004,3.2799999999999954,2.769999999999999,0.65,0.8700000000000001,0.9700000000000002,1.7800000000000005,0,0,0.46,0.05,0.15000000000000002,0.04,0,0,0,0,0,0.5800000000000002,0.35,0.3900000000000001,0.64,0.19,0.54,0.16000000000000003,1.6100000000000005,1.1600000000000004,1.1200000000000006,0.5900000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.18000000000000002,0.44000000000000017,0,0.13,0.7000000000000004,0.09,0.6600000000000001,3.999999999999999,1.8500000000000008,156.46,156.36,153.31,NA,NA,NA,NA,NA,NA
2006-01-17T08:00:00Z,157.76,2006-01-17T08:00:00Z,0,0,3.7699999999999996,3.3099999999999956,5.179999999999994,0.43,0,1.5300000000000007,1.1900000000000002,0,1.4900000000000004,3.249999999999996,2.9399999999999995,0.47000000000000003,0.8600000000000001,0.9700000000000002,1.7800000000000005,0,0,0.46,0.05,0.15000000000000002,0.04,0,0,0,0,0,0.9300000000000002,0,0.3900000000000001,0.64,0.19,0.7000000000000001,0,2.0399999999999996,0.9200000000000002,0.9500000000000004,0.5700000000000003,0.45000000000000007,1.7700000000000007,1.3200000000000003,1.5300000000000007,3.839999999999997,1.3600000000000005,0.01,0.31,0.31000000000000005,0,0.13,0.7000000000000004,0.1,1.6700000000000006,2.99,156.82,156.46,156.36,153.31,NA,NA,NA,NA,NA
2006-01-20T08:00:00Z,156.62,2006-01-20T08:00:00Z,0.07,0.07,5.389999999999996,2.8899999999999997,5.119999999999995,2.1199999999999997,0,0.17000000000000004,2.4699999999999998,0.08,1.3800000000000003,2.719999999999996,3.189999999999996,0.6000000000000001,0.8900000000000001,0.9000000000000004,0.9300000000000002,1.15,0,0.46,0.05,0.15000000000000002,0,0.04,0,0,0,0,0.5700000000000002,0.36,0.3400000000000001,0.26,0.6200000000000001,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2200000000000006,4.369999999999995,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,3.949999999999998,157.76,156.82,156.46,156.36,153.31,NA,NA,NA,NA
2006-01-27T08:00:00Z,156.81,2006-01-27T08:00:00Z,0,0,2.669999999999998,5.389999999999996,2.8899999999999997,5.119999999999995,2.1199999999999997,0,0.17000000000000004,2.4699999999999998,0.08,1.3800000000000003,2.719999999999996,3.189999999999996,0.6000000000000001,0.8900000000000001,0.9000000000000004,0.9300000000000002,1.15,0,0.46,0.05,0.15000000000000002,0,0.04,0,0,0,0,0.5700000000000002,0.36,0.3400000000000001,0.26,0.6200000000000001,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2200000000000006,4.369999999999995,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,0.54,156.62,157.76,156.82,156.46,156.36,153.31,NA,NA,NA
2006-01-30T08:00:00Z,157.28,2006-01-30T08:00:00Z,0.21,0.21,2.7599999999999993,5.269999999999995,2.269999999999999,3.5799999999999956,5.059999999999996,0.01,0,1.7700000000000005,0.9500000000000001,0,1.6700000000000006,4.749999999999994,1.2600000000000002,0.48000000000000004,0.8900000000000001,1.0700000000000003,1.6400000000000003,0,0,0.46,0.19,0.01,0.04,0,0,0,0,0.11,0.8200000000000001,0.05,0.3400000000000001,0.65,0.18,0.7000000000000001,0,2.1099999999999994,1.5900000000000007,0.4300000000000001,0.42000000000000015,0.38000000000000006,2.0500000000000003,1.0500000000000003,2.1099999999999994,3.329999999999999,1.2800000000000005,0.01,0.6200000000000003,0,0,0.13,0.7600000000000005,0.04,156.81,156.62,157.76,156.82,156.46,156.36,153.31,NA,NA
2006-02-01T08:00:00Z,157.37,2006-02-01T08:00:00Z,0.02,0.02,1.19,3.51,5.029999999999999,3.339999999999996,5.079999999999993,0.7999999999999999,0,0.81,1.9100000000000006,0,1.4400000000000004,3.2799999999999954,2.769999999999999,0.65,0.8700000000000001,0.9700000000000002,1.7800000000000005,0,0,0.46,0.05,0.15000000000000002,0.04,0,0,0,0,0,0.5800000000000002,0.35,0.3900000000000001,0.64,0.19,0.54,0.16000000000000003,1.6100000000000005,1.1600000000000004,1.1200000000000006,0.5900000000000003,0.45000000000000007,1.5800000000000005,1.3000000000000005,1.2500000000000004,4.329999999999995,1.3600000000000005,0.01,0.18000000000000002,0.44000000000000017,0,0.13,0.7000000000000004,0.09,157.28,156.81,156.62,157.76,156.82,156.46,156.36,NA,NA
2006-02-03T08:00:00Z,156.43,2006-02-03T08:00:00Z,0.01,0.01,1.1100000000000003,2.689999999999998,5.389999999999996,2.8899999999999997,5.119999999999995,2.1199999999999997,0,0.17000000000000004,2.4699999999999998,0.08,1.3800000000000003,2.719999999999996,3.189999999999996,0.6000000000000001,0.8900000000000001,0.9000000000000004,0.9300000000000002,1.15,0,0.46,0.05,0.15000000000000002,0,0.04,0,0,0,0,0.5700000000000002,0.36,0.3400000000000001,0.26,0.6200000000000001,0.54,0.16000000000000003,0.32000000000000006,2.4499999999999997,0.9400000000000004,0.7700000000000005,0.45000000000000007,1.4100000000000004,1.1200000000000003,1.2200000000000006,4.369999999999995,1.3200000000000005,0.38000000000000006,0.01,0.6200000000000003,0,0.13,0.7000000000000004,0.06999999999999999,157.37,157.28,156.81,156.62,157.76,156.82,156.46,NA,NA
